"rid","us_MAP"
701289529,425.7460673663
701289542,425.701340476374
701289543,425.7460673663
701289545,424.702665758078
701289552,425.7460673663
701289553,464.348637842738
701289571,424.102606512008
701289577,424.102606512008
701289623,419.296485275816
701289624,415.33825752031
701289629,419.666078676561
701289635,419.666078676561
701289641,421.181638242109
701289647,419.666078676561
701289652,421.181638242109
701289675,411.024896465191
701289680,411.024896465191
701289685,411.024896465191
701289692,442.403106465776
701289700,412.191032389991
701289753,447
701289767,410.30145062695
701289785,410.30145062695
701289806,408.358287430603
701295399,456.733526924839
701295480,458.987799067556
701295664,459.020090652353
701295678,456.219824927032
701295734,459.250461096082
701295740,455.426684383176
701295781,459.438621242014
701295866,454.998259443129
701295976,454.926977990554
701295996,452.599037691315
701295999,452.503312775804
701296038,441.516848532346
701296047,441.516848532346
701296048,441.516848532346
701296064,452.471054267595
701296076,441.516848532346
701296100,478.075126399938
701296106,441.516848532346
701296136,453.750788347018
701296145,453.620100925537
701296148,441.516848532346
701296190,453.495428620008
701296210,453.495428620008
701296215,441.516848532346
701296240,453.495428620008
701296247,478.075126399938
701296272,479.0010903691
701296280,453.285568424897
701296322,442.156819012389
701296323,453.166982252635
701296330,442.156819012389
701296351,444.336302841322
701296373,442.658871955361
701296384,442.393561872488
701296385,444.489346980382
701296386,444.590984897013
701296414,442.393561872488
701296416,442.341935257066
701296428,442.341935257066
701296438,442.5703565151
701296439,442.456236900127
701296444,442.5703565151
701296459,444.590984897013
701296465,453.166982252635
701296476,442.341935257066
701296478,442.156819012389
701296480,452.512706201455
701296489,452.731128547495
701296511,444.590984897013
701296522,444.590984897013
701296547,441.451636756197
701296590,444.859765925618
701296628,439.509666462132
701296707,452.512706201455
701296730,441.272053659648
701296739,452.512706201455
701296745,451.973384896021
701296752,457.555392775903
701296761,451.828417541879
701296781,457.380656663866
701296824,445.257170860432
701296840,457.00719140932
701296841,457.00719140932
701296859,457.00719140932
701296915,457.00719140932
701296930,445.257170860432
701296940,457.00719140932
701296955,457.00719140932
701296956,457.00719140932
701296959,445.300148284275
701296988,456.537757969441
701296998,456.537757969441
701297009,456.537757969441
701297031,456.537757969441
701297032,456.537757969441
701297066,456.537757969441
701297099,456.537757969441
701297159,445.300148284275
701297168,455.515739995766
701297229,445.330850737733
701297231,464.439048685598
701297234,439.040223628369
701297242,445.368278567656
701297292,464.439048685598
701297298,445.692557356291
701297305,464.439048685598
701297371,464.439048685598
701297431,447.174534701004
701297484,438.831110689546
701297485,449.014313181047
701297504,438.721021524024
701297510,446.827462785786
701297515,446.827462785786
701297516,446.056879725311
701297521,446.457918596926
701297528,464.209970458341
701297538,464.209970458341
701297552,447.073576043443
701297554,446.965690170411
701297556,446.457918596926
701297559,464.209970458341
701297578,464.209970458341
701297596,464.702351924175
701297598,447.073576043443
701297681,447.174534701004
701297723,450.395060486445
701297757,464.702351924175
701297759,450.019756817079
701297768,464.702351924175
701297780,449.622926960158
701297785,449.622926960158
701297793,464.702351924175
701297838,450.395060486445
701297882,463.832354131474
701297909,463.832354131474
701297972,463.639288395671
701297982,463.639288395671
701297983,463.639288395671
701297992,450.395060486445
701298029,451.609991830633
701298068,463.639288395671
701298075,463.639288395671
701298112,463.639288395671
701298159,438.288373081747
701298162,451.609991830633
701298350,463.573839362457
701298384,463.499496770703
701298403,452.422237548849
701298405,452.293132220192
701298433,463.490912835593
701298525,463.47258275221
701298575,457.152400581957
701298603,452.422237548849
701298604,463.470178911381
701298610,455.559155485248
701298615,438.288373081747
701298617,452.422237548849
701298651,463.460699011079
701298652,464.555561367813
701298668,464.361945186635
701298724,457.152400581957
701298756,464.361945186635
701298793,457.868738302296
701298810,457.152400581957
701298813,457.152400581957
701298846,464.361945186635
701298893,457.868738302296
701298909,460.400210808238
701299089,464.263948443129
701299114,456.38761705095
701299136,456.52630968085
